,pge_ecr,sce_ecr,sdge_ecr
1,0.0523,0.05132,0.05314
2,0.0529,0.0513,0.05325
3,0.0513,0.05005,0.05198
4,0.0506,0.04871,0.05058
5,0.0509,0.0481,0.04995
6,0.0531,0.04889,0.05076
7,0.0556,0.05247,0.0543
8,0.0567,0.05244,0.05409
9,0.0544,0.04571,0.04632
10,0.0476,0.03693,0.03746
11,0.0455,0.03591,0.03639
12,0.0457,0.03794,0.03855
13,0.0444,0.03722,0.0378
14,0.0441,0.03715,0.03784
15,0.046,0.03877,0.03955
16,0.0521,0.04726,0.0483
17,0.0605,0.05961,0.06083
18,0.062,0.06141,0.06119
19,0.0647,0.07133,0.06385
20,0.0632,0.07045,0.06291
21,0.0615,0.06694,0.06151
22,0.0584,0.06259,0.05886
23,0.0564,0.0577,0.05736
24,0.0547,0.05594,0.05761
25,0.0523,0.05132,0.05314
26,0.0529,0.0513,0.05325
27,0.0513,0.05005,0.05198
28,0.0506,0.04871,0.05058
29,0.0509,0.0481,0.04995
30,0.0531,0.04889,0.05076
31,0.0556,0.05247,0.0543
32,0.0567,0.05244,0.05409
33,0.0544,0.04571,0.04632
34,0.0476,0.03693,0.03746
35,0.0455,0.03591,0.03639
36,0.0457,0.03794,0.03855
37,0.0444,0.03722,0.0378
38,0.0441,0.03715,0.03784
39,0.046,0.03877,0.03955
40,0.0521,0.04726,0.0483
41,0.0605,0.05961,0.06083
42,0.062,0.06141,0.06119
43,0.0647,0.07133,0.06385
44,0.0632,0.07045,0.06291
45,0.0615,0.06694,0.06151
46,0.0584,0.06259,0.05886
47,0.0564,0.0577,0.05736
48,0.0547,0.05594,0.05761
49,0.0523,0.05132,0.05314
50,0.0529,0.0513,0.05325
51,0.0513,0.05005,0.05198
52,0.0506,0.04871,0.05058
53,0.0509,0.0481,0.04995
54,0.0531,0.04889,0.05076
55,0.0556,0.05247,0.0543
56,0.0567,0.05244,0.05409
57,0.0544,0.04571,0.04632
58,0.0476,0.03693,0.03746
59,0.0455,0.03591,0.03639
60,0.0457,0.03794,0.03855
61,0.0444,0.03722,0.0378
62,0.0441,0.03715,0.03784
63,0.046,0.03877,0.03955
64,0.0521,0.04726,0.0483
65,0.0605,0.05961,0.06083
66,0.062,0.06141,0.06119
67,0.0647,0.07133,0.06385
68,0.0632,0.07045,0.06291
69,0.0615,0.06694,0.06151
70,0.0584,0.06259,0.05886
71,0.0564,0.0577,0.05736
72,0.0547,0.05594,0.05761
73,0.0523,0.05132,0.05314
74,0.0529,0.0513,0.05325
75,0.0513,0.05005,0.05198
76,0.0506,0.04871,0.05058
