Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,82018,-,-,-,33.89,-117.22,-8,464,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,,3.2.0
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed,,,,,,
1999,1,1,0,30,0,0,0,0,0.17,960,6,36,1.8,,,,,,
1999,1,1,1,30,-1,0,0,0,0.17,960,5,31,2,,,,,,
1999,1,1,2,30,-2,0,0,0,0.17,960,5,30,2.2,,,,,,
1999,1,1,3,30,-2,0,0,0,0.17,960,5,32,2.5,,,,,,
1999,1,1,4,30,-3,0,0,0,0.17,960,5,36,2.9000000000000004,,,,,,
1999,1,1,5,30,-4,0,0,0,0.17,970,4,38,3.2,,,,,,
1999,1,1,6,30,-4,0,0,0,0.17,970,5,38,3.8000000000000003,,,,,,
1999,1,1,7,30,-4,25,542,78,0.17,970,8,36,4.5,,,,,,
1999,1,1,8,30,-4,104,42,115,0.17,970,12,36,5,,,,,,
1999,1,1,9,30,-4,54,912,422,0.17,970,15,38,4.9,,,,,,
1999,1,1,10,30,-5,61,958,537,0.17,970,18,41,4.2,,,,,,
1999,1,1,11,30,-5,61,979,593,0.17,970,20,40,3.2,,,,,,
1999,1,1,12,30,-5,60,979,585,0.17,960,21,36,2.4000000000000004,,,,,,
1999,1,1,13,30,-6,58,951,513,0.17,960,21,30,1.9000000000000001,,,,,,
1999,1,1,14,30,-6,52,889,384,0.17,960,20,19,1.4000000000000001,,,,,,
1999,1,1,15,30,-1,41,756,213,0.17,960,17,14,1,,,,,,
1999,1,1,16,30,-1,17,385,37,0.17,970,13,1,1.1,,,,,,
1999,1,1,17,30,-2,0,0,0,0.17,970,11,10,1.2000000000000002,,,,,,
1999,1,1,18,30,-3,0,0,0,0.17,970,10,20,1.3,,,,,,
1999,1,1,19,30,-3,0,0,0,0.17,970,9,29,1.4000000000000001,,,,,,
1999,1,1,20,30,-4,0,0,0,0.17,970,9,36,1.5,,,,,,
1999,1,1,21,30,-5,0,0,0,0.17,970,8,41,1.6,,,,,,
1999,1,1,22,30,-6,0,0,0,0.17,970,8,44,1.7000000000000002,,,,,,
1999,1,1,23,30,-7,0,0,0,0.17,970,8,44,1.7000000000000002,,,,,,
1999,1,2,0,30,-8,0,0,0,0.17,970,8,44,1.9000000000000001,,,,,,
1999,1,2,1,30,-8,0,0,0,0.17,970,8,44,2,,,,,,
1999,1,2,2,30,-8,0,0,0,0.17,970,7,44,2,,,,,,
1999,1,2,3,30,-8,0,0,0,0.17,970,7,44,2.1,,,,,,
1999,1,2,4,30,-8,0,0,0,0.17,970,7,44,2.3000000000000003,,,,,,
1999,1,2,5,30,-8,0,0,0,0.17,970,7,44,2.7,,,,,,
1999,1,2,6,30,-8,0,0,0,0.17,970,7,43,3.3000000000000003,,,,,,
1999,1,2,7,30,-8,25,554,79,0.17,970,10,43,4.3,,,,,,
1999,1,2,8,30,-8,43,825,263,0.17,970,14,43,4.6000000000000005,,,,,,
1999,1,2,9,30,-8,51,932,428,0.17,970,17,42,4.4,,,,,,
1999,1,2,10,30,-9,55,982,544,0.17,970,20,46,3.9000000000000004,,,,,,
1999,1,2,11,30,-10,57,1000,602,0.17,970,21,50,3.2,,,,,,
1999,1,2,12,30,-11,57,996,594,0.17,960,22,45,2.6,,,,,,
1999,1,2,13,30,-11,55,970,521,0.17,960,22,38,2.1,,,,,,
1999,1,2,14,30,-11,50,907,391,0.17,960,21,30,1.3,,,,,,
1999,1,2,15,30,-3,40,771,218,0.17,960,17,17,0.9,,,,,,
1999,1,2,16,30,-3,17,406,39,0.17,960,14,358,1.1,,,,,,
